id,genres,vote_average,vote_count,name,developer,publisher
2746,Adventure|Puzzle|Horror|Story Rich|Atmospheric|,0.1,8360,God's Basement,Erebus,Erebus
2747,Action|2D|,0.7,5222,Gunman Clive,Hörberg Productions,Hörberg Productions
2748,Adventure|Horror|,0.6,5496,Traum,Ruskatuli,Ruskatuli
2749,Action|2D|Arcade|,3.3,4651,Aqua Kitty - Milk Mine Defender,TIKIPOD|Electric Cafe,TIKIPOD|Electric Cafe
2750,2D|Sci-fi|Puzzle|Adventure|,0.8,1752,Saira,Nicklas Nygren,Nicklas Nygren
2751,Action|Adventure|Simulation|Strategy|Casual|,2.1,1489,Formata,Nezon Production,Nezon Production
2752,Action|Adventure|Simulation|Fantasy|Strategy|Atmospheric|,4.9,9120,Ultimate Epic Battle Simulator,Brilliant Game Studios,Brilliant Game Studios
2753,Action|2D|Sci-fi|Horror|RPG|FPS|Casual|Atmospheric|,1.8,5572,SAS: Zombie Assault 4,Ninja Kiwi,Ninja Kiwi
2754,2D|Action|Sci-fi|Arcade|,2.4,7602,Circuit Breakers - Multiplayer twin stick shoot 'em up,Triverske,Triverske
2755,2D|Adventure|Puzzle|Fantasy|Atmospheric|,2.6,6584,Awareness Rooms,GAME NA KIBUN,GAME NA KIBUN
2756,Action|Adventure|RPG|Fantasy|,3.4,2462,Dungeon Siege,Gas Powered Games,Gas Powered Games
2757,Action|Simulation|FPS|,1.3,6062,Super Mega Baseball 3,Metalhead Software Inc.,Metalhead Software Inc.
2758,Simulation|Colorful|Strategy|Casual|,0.0,4404,Desktop Farm,3dm_live_wallpapers,3dm_live_wallpapers
2759,2D|Adventure|,3.4,3664,Reventure,Pixelatto,Pixelatto
2760,RPG|Strategy|,4.4,5359,Depths of Peril,Soldak Entertainment,Soldak Entertainment
2761,Action|Casual|,2.5,6601,Dodge This!,HaDe Games,HaDe Games
2762,Action|Arcade|,0.0,9073,SWARMRIDERS,Walter Machado,Walter Machado
2763,Action|2D|FPS|Strategy|,4.0,6450,Strike.is: The Game,Freakinware Limited,Freakinware Limited
2764,Action|Adventure|Horror|Strategy|Casual|,3.2,4673,My Own Little Planet,Lucas Parise|Mind Flayer Studios,Lucas Parise|Mind Flayer Studios
2765,Adventure|Puzzle|,3.4,1907,Yesterday Origins,Pendulo Studios,Pendulo Studios
2766,Action|Adventure|Puzzle|Casual|Atmospheric|,4.8,3576,Biped,NEXT Studios,NEXT Studios
2767,Action|Adventure|Horror|,4.0,9276,BEKKOUAME,Mt.Bamboo Village,Mt.Bamboo Village
2768,Action|Simulation|,3.9,3728,Lightblade VR,Andreas Hager Gaming,Andreas Hager Gaming
2769,RPG|Fantasy|,1.9,8696,Galmon Folklore ~Monster Girl Galore!~,ミラージュブリンガー,ミラージュブリンガー
2770,Adventure|Simulation|RPG|Story Rich|Strategy|Casual|,2.5,8705,Ashina: The Red Witch: Prologue,Stranga Games,Stranga Games
2771,Action|Adventure|Horror|RPG|Atmospheric|,2.4,3259,Darkwood,Acid Wizard Studio,Acid Wizard Studio
2772,Action|Sci-fi|Adventure|,0.1,4466,Warhammer 40 000: Eternal Crusade,Behaviour Interactive Inc.,Behaviour Interactive Inc.
2773,Action|Casual|,4.1,3193,Gangsta Sniper,Tero Lunkka|Gangsta Studios|BlackThug,Tero Lunkka|Gangsta Studios|BlackThug
2774,2D|Action|Puzzle|Adventure|Atmospheric|,3.5,7786,Teslagrad,Rain Games,Rain Games
2775,Adventure|RPG|Strategy|Casual|,2.4,9976,Bastard,Aterdux Entertainment,Aterdux Entertainment
2776,Sci-fi|Action|Simulation|FPS|Casual|,1.1,3234,All Aspect Warfare,3000AD,3000AD
2777,Action|FPS|,4.0,4148,Hentai Shooter 3D,КиКо,КиКо
2778,Adventure|Colorful|RPG|Story Rich|Fantasy|,2.5,2741,Shattering Obsidian,James K. Isaac,James K. Isaac
2779,Sci-fi|2D|Adventure|Strategy|Casual|,1.3,8570,SPACECOM,Flow Combine,Flow Combine
2780,Action|RPG|Fantasy|Strategy|,3.1,5023,Dogs of War Online,Cyanide Studio,Cyanide Studio
2781,Action|Adventure|Horror|Simulation|,0.7,1758,VERGE:Lost chapter,GDNomad,GDNomad
2782,Adventure|RPG|Strategy|,1.9,5233,Sands of Salzaar,汉家松鼠Han-Squirrel Studio,汉家松鼠Han-Squirrel Studio
2783,Action|Sci-fi|2D|Simulation|,3.0,7972,Orbital Gear,Night Node,Night Node
2784,Action|RPG|,4.3,934,AVABEL ONLINE,ASOBIMO|Inc.,ASOBIMO|Inc.
2785,Simulation|Strategy|Casual|,5.0,2736,Gun Master,torumees.games,torumees.games
2786,Action|Adventure|RPG|,0.6,3573,FIVE: Champions of Canaan,Kingdom Games,Kingdom Games
2787,Action|Adventure|Simulation|FPS|,2.9,9303,SURVIVAL: Postapocalypse Now,TB Games,TB Games
2788,Simulation|Atmospheric|,2.6,4180,The Bus,TML-Studios,TML-Studios
2789,Puzzle|Adventure|Horror|Story Rich|Atmospheric|,4.2,8461,Return of the Obra Dinn,Lucas Pope,Lucas Pope
2790,2D|Adventure|Story Rich|Casual|,2.2,5947,Go! Go! Nippon! ~My First Trip to Japan~,OVERDRIVE,OVERDRIVE
2791,Action|2D|Adventure|Atmospheric|Arcade|,3.5,4927,12 is Better Than 6,Ink Stains Games,Ink Stains Games
2792,2D|Puzzle|Horror|Story Rich|Casual|Atmospheric|,1.4,1866,Dark Podval,ХаБеБу,ХаБеБу
2793,Action|Horror|Strategy|Atmospheric|,0.1,9302,Boogeyman,Barry McCabe,Barry McCabe
2794,2D|Adventure|RPG|Fantasy|Casual|,4.2,9946,Hate Free Heroes RPG 3.0,U Game Me,U Game Me
2795,Action|Fantasy|Strategy|Atmospheric|,1.7,591,CARDCORE,Azorian|kron0s_alexey|Pavel_Balakin,Azorian|kron0s_alexey|Pavel_Balakin
2796,Action|Strategy|,3.5,2530,Arena Wars 2,ExDream GmbH,ExDream GmbH
2797,Action|Adventure|Casual|,0.4,1752,VirZOOM Arcade,VirZOOM,VirZOOM
2798,Action|Adventure|Simulation|Colorful|Strategy|Casual|,0.5,4337,Notruf 112 | Emergency Call 112,Crenetic GmbH Studios,Crenetic GmbH Studios
2799,2D|Adventure|RPG|Fantasy|Arcade|,2.7,6642,Unforgiving Trials: The Darkest Crusade,Amaterasu Software,Amaterasu Software
2800,2D|Action|Adventure|Colorful|Fantasy|Casual|,0.3,4625,Super Win the Game,Minor Key Games,Minor Key Games
2801,Action|2D|Adventure|RPG|Fantasy|,2.8,5729,Final Bravely,Windam,Windam
2802,Action|Adventure|Casual|,2.5,3235,ROTii,DarkShot Studios,DarkShot Studios
2803,Action|Sci-fi|,4.8,2536,Brigador: Up-Armored Edition,Stellar Jockeys|Gausswerks,Stellar Jockeys|Gausswerks
2804,Adventure|Puzzle|,3.4,4493,AGON - The Mysterious Codex (Trilogy),Private Moon Studios,Private Moon Studios
2805,Action|Sci-fi|Adventure|Horror|Arcade|,1.1,665,Soldier in the darkness,A3D Studio (Solo Developer),A3D Studio (Solo Developer)
2806,Action|Adventure|Puzzle|Horror|Story Rich|Atmospheric|,3.9,1423,Little Nightmares II,Tarsier Studios,Tarsier Studios
2807,2D|Colorful|,2.5,9297,California Games,Epyx| Inc.,Epyx| Inc.
2808,2D|Action|Simulation|RPG|Strategy|Casual|Atmospheric|,3.4,920,Boxing School,Raptor Claw Games,Raptor Claw Games
2809,2D|Puzzle|Adventure|Casual|,2.0,4801,Hidden Folks,Adriaan de Jongh|Sylvain Tegroeg,Adriaan de Jongh|Sylvain Tegroeg
2810,Action|Sci-fi|FPS|Casual|Arcade|,4.6,8113,GALSAD - Galactic Salvage and Disposal,Steve Wynn,Steve Wynn
2811,2D|Action|Adventure|RPG|Casual|,2.5,9376,Bit Heroes,Juppiomenz,Juppiomenz
2812,Action|Adventure|RPG|Fantasy|Story Rich|Strategy|,3.5,699,Ember,N-Fusion Interactive,N-Fusion Interactive
2813,Sci-fi|2D|Simulation|Casual|Arcade|,0.6,8451,1000 days to escape,Lemon Squeezy,Lemon Squeezy
2814,RPG|Strategy|Casual|,1.6,5231,Dragon Kingdom War,Play Spirit Limited,Play Spirit Limited
2815,Action|Adventure|Horror|FPS|,4.5,2595,The Forgotten Ones,Bernt Andreas Eide,Bernt Andreas Eide
2816,Simulation|Fantasy|RPG|Strategy|Atmospheric|,4.0,3840,Grimmwood - They Come at Night,Big Moustache Games,Big Moustache Games
2817,Action|2D|Adventure|Story Rich|Fantasy|,3.5,5945,Skul: The Hero Slayer,SouthPAW Games,SouthPAW Games
2818,Puzzle|Strategy|Casual|,3.9,3283,Crazy Machines Elements,Fakt Software,Fakt Software
2819,Strategy|Casual|,3.4,9483,Fairy Tower Defense,Educational Games,Educational Games
2820,2D|Story Rich|,4.6,3118,Super Web Kittens: Act I,Kuno Hoshiko,Kuno Hoshiko
2821,Action|Casual|,4.3,1192,Marble It Up!,Blueteak|The Engine Company|Shapes and Lines|Arcturus Interactive,Blueteak|The Engine Company|Shapes and Lines|Arcturus Interactive
2822,Action|2D|Casual|Arcade|,1.0,2014,Martian Law,Linclo Games,Linclo Games
2823,Action|Adventure|Simulation|RPG|FPS|Strategy|Casual|,1.6,9378,Wasteland Survival,Joyloft Co.| Limited,Joyloft Co.| Limited
2824,Action|,4.5,7737,Overstep,Gamecan,Gamecan
2825,Action|Adventure|Horror|Arcade|,4.1,8725,SUCCUBUS: Prologue,Madmind Studio,Madmind Studio
2826,Simulation|Strategy|,0.0,8707,WWII TCG - World War 2: The Card Game,FrozenShard Games,FrozenShard Games
2827,Action|Simulation|Colorful|Casual|Arcade|,4.8,7153,Drift86,RewindApp,RewindApp
2828,2D|Action|RPG|Atmospheric|,0.6,8466,ENDER LILIES: Quietus of the Knights,Live Wire|Adglobe,Live Wire|Adglobe
2829,Simulation|Casual|,0.2,530,Diesel Brothers: Truck Building Simulator,Code Horizon,Code Horizon
2830,Action|Adventure|RPG|Fantasy|Story Rich|,2.3,735,(Tale Of Swords: Mystery Scroll),喵鼎工作室,喵鼎工作室
2831,2D|Action|Adventure|Story Rich|RPG|Atmospheric|,4.6,2569,The Underground Man,Mehsoft,Mehsoft
2832,Action|,0.4,1051,HitBox,Tyler Rogers|David Colson,Tyler Rogers|David Colson
2833,Simulation|Strategy|,3.9,2167,Constructor,System 3,System 3
2834,Casual|,0.5,3993,18+,КиКо,КиКо
2835,Simulation|Story Rich|Atmospheric|,3.2,7124,Not For Broadcast,NotGames,NotGames
2836,Action|Casual|Arcade|,3.4,5767,Symphony,Empty Clip Studios,Empty Clip Studios
2837,Action|Colorful|Casual|,1.0,2156,Spin Rhythm XD,Super Spin Digital,Super Spin Digital
2838,Action|,0.8,1989,The Juicer,Anvate Games,Anvate Games
2839,2D|Action|Adventure|RPG|Fantasy|,0.2,2220,RPG Maker VX Ace,Gotcha Gotcha Games|KADOKAWA|Yoji Ojima,Gotcha Gotcha Games|KADOKAWA|Yoji Ojima
2840,Action|FPS|Story Rich|Strategy|Atmospheric|,4.5,3925,Brothers in Arms: Road to Hill 30,Gearbox Software,Gearbox Software
2841,Action|Story Rich|Arcade|,1.1,9070,Injustice 2,NetherRealm Studios|QLOC,NetherRealm Studios|QLOC
2842,Action|2D|Sci-fi|Adventure|Arcade|,4.2,2123,Revolution Ace,Laser Guided Games| LLC,Laser Guided Games| LLC
2843,Action|,4.0,3652,ProtoGalaxy,Source Studio Ltd.,Source Studio Ltd.
2844,Casual|,4.4,9957,AffordaGolf Online,Oryzhon Studios,Oryzhon Studios
2845,Action|,4.9,3060,The Land of Eyas,Happy Square Productions,Happy Square Productions
2846,Action|,1.7,5269,Whiteboyz Wit Attitude: The Pursuit of Money,MichaelArts,MichaelArts
2847,Action|Casual|,4.9,7845,Food Drive: Race against Hunger,Gamers for Good,Gamers for Good
2848,Adventure|RPG|,0.7,9260,Descent: Road to Legend,Fantasy Flight Games,Fantasy Flight Games
2849,2D|Adventure|RPG|Story Rich|Fantasy|Strategy|,0.7,8336,Defender's Quest: Valley of the Forgotten (DX edition),Level Up Labs| LLC,Level Up Labs| LLC
2850,Adventure|Puzzle|Horror|Strategy|Casual|Atmospheric|,2.9,502,Lara Croft GO,Square Enix Montréal,Square Enix Montréal
2851,Action|Adventure|Simulation|Horror|FPS|,4.7,3637,Madness Cubed,epic dreams|diman production|nobodyshot,epic dreams|diman production|nobodyshot
2852,Strategy|,1.6,3045,Metal Fatigue,Zono,Zono
2853,Action|Puzzle|Horror|FPS|Atmospheric|,5.0,8610,SUPERHOT VR,SUPERHOT Team,SUPERHOT Team
2854,Action|Adventure|Arcade|,5.0,9182,Battletoads,Dlala Studios,Dlala Studios
2855,Adventure|Puzzle|Atmospheric|,3.6,6548,Algotica Iterations,Alexander Goodwin,Alexander Goodwin
2856,Adventure|Simulation|Horror|Casual|Atmospheric|,3.8,9093,Animal Jam,WildWorks| Inc.,WildWorks| Inc.
2857,Action|Casual|,0.3,8996,8infinity,ENTERi,ENTERi
2858,Action|2D|Adventure|,4.9,7169,TDP4:Team Battle,JAVELIN OÜ,JAVELIN OÜ
2859,Adventure|Horror|,2.1,7406,Days Under Custody,Abraham Carreola,Abraham Carreola
2860,Action|Adventure|Simulation|Strategy|Casual|,0.6,9417,Kitchen Simulator 2015,WhackAKey Games,WhackAKey Games
2861,Action|2D|Adventure|,0.9,8593,TEMBO THE BADASS ELEPHANT,GAME FREAK inc.,GAME FREAK inc.
2862,Action|Adventure|Puzzle|Horror|RPG|Story Rich|,2.2,763, ,QZQ Studio,QZQ Studio
2863,Strategy|Casual|,2.1,3968,Defense Of Greece TD,First Games Interactive,First Games Interactive
2864,,1.2,5559,Pixel Studio for pixel art,Hippo Games,Hippo Games
2865,Adventure|Fantasy|RPG|Story Rich|Strategy|Atmospheric|,1.1,4732,Heroes of Might & Magic V,Nival,Nival
2866,2D|Adventure|Simulation|RPG|Story Rich|Strategy|Atmospheric|,0.1,1145,The Life and Suffering of Sir Brante,Sever,Sever
2867,2D|Action|Horror|Colorful|Fantasy|Casual|Arcade|Atmospheric|,3.0,9233,Cooking Witch,VaragtP,VaragtP
2868,2D|Action|Puzzle|Adventure|Casual|,2.5,5386,Clicker Planet,Undead Turtle,Undead Turtle
2869,2D|Action|Adventure|Casual|,3.5,8800,The Purring Quest,Valhalla Cats,Valhalla Cats
2870,Action|Adventure|RPG|,2.7,5903,Nyanco Project,Nyanco Channel,Nyanco Channel
2871,Sci-fi|Puzzle|Strategy|Casual|Atmospheric|,4.4,6060,Unlock The King,Minimol Games,Minimol Games
2872,Action|Sci-fi|Horror|FPS|Atmospheric|,2.6,2873,Putrefaction 2: Void Walker,Kazakov Oleg,Kazakov Oleg
2873,Action|Sci-fi|RPG|Strategy|,4.9,3530,Alien 911 Prologue,Kicksome Entertainment,Kicksome Entertainment
2874,Adventure|Puzzle|RPG|Story Rich|Casual|,3.7,510, The Shell of Permafrost,mayiyamore,mayiyamore
2875,Action|Sci-fi|Adventure|FPS|,0.1,2912,SickBrick,Maxwolf|Fox,Maxwolf|Fox
2876,Action|Simulation|RPG|Strategy|,1.5,3926,LuckCatchers,DiP Online,DiP Online
2877,Puzzle|Simulation|RPG|Casual|,0.1,1196,Hentai Girl Hime,GirlGame,GirlGame
2878,Strategy|,3.7,761,Archon Classic,React Games,React Games
2879,Action|,4.9,839,Tex-Mechs,SMU Guildhall,SMU Guildhall
2880,Simulation|Strategy|,1.1,8975,Imperator: Rome,Paradox Development Studio,Paradox Development Studio
2881,2D|Adventure|RPG|Story Rich|Fantasy|,2.6,6243,A Wild Catgirl Appears!,NewWestGames,NewWestGames
2882,Action|Adventure|Horror|FPS|,3.0,5326,Dementium II HD,Memetic Games,Memetic Games
2883,Action|Adventure|Simulation|Strategy|Casual|Atmospheric|,1.3,6240,Fishing Sim World: Pro Tour,Dovetail Games,Dovetail Games
2884,Action|Adventure|RPG|Fantasy|Atmospheric|,2.5,6719,Beyond Divinity,Larian Studios,Larian Studios
2885,Adventure|Simulation|RPG|Strategy|,4.0,8412,RPG Tycoon,Skatanic Studios,Skatanic Studios
2886,2D|Adventure|Puzzle|Simulation|Story Rich|Casual|,0.1,926,Some Some Convenience Store,TALESSHOP Co.| Ltd.,TALESSHOP Co.| Ltd.
2887,2D|Puzzle|Simulation|Casual|,3.9,4312,Opus Magnum,Zachtronics,Zachtronics
2888,Action|Sci-fi|FPS|,4.5,5243,GOAT OF DUTY,34BigThings srl,34BigThings srl
2889,Puzzle|Strategy|Casual|,0.0,3563,Think To Die,FelGC.GamesDevelopment,FelGC.GamesDevelopment
2890,2D|RPG|,4.2,5197,Fury Unleashed,Awesome Games Studio,Awesome Games Studio
2891,Action|2D|Arcade|,4.5,2874,METAL SLUG XX,SNK CORPORATION,SNK CORPORATION
2892,Action|Adventure|Puzzle|Casual|,0.8,8253,Truffle Saga,Colossal Games,Colossal Games
2893,Action|Adventure|Horror|Atmospheric|,3.0,5383,Near Death,Orthogonal Games,Orthogonal Games
2894,Sci-fi|Adventure|RPG|Story Rich|Strategy|Atmospheric|,4.0,1699,Encased: A Sci-Fi Post-Apocalyptic RPG,Dark Crystal Games,Dark Crystal Games
2895,Action|Casual|,3.0,1669,Pyramaze: The Game,Impawsible Games,Impawsible Games
2896,2D|Puzzle|Colorful|Strategy|Casual|,2.4,8779,Pictopix,Tomlab Games,Tomlab Games
2897,Sci-fi|2D|Action|Adventure|Puzzle|Story Rich|,4.7,1732,Beneath a Steel Sky,Revolution Software Ltd,Revolution Software Ltd
2898,Adventure|,4.2,514,Gone In November,Florastamine,Florastamine
2899,Action|Sci-fi|Puzzle|Simulation|Story Rich|RPG|Strategy|Casual|,0.1,2037,Let the Cat in,Eforb,Eforb
2900,Action|2D|Adventure|,4.0,1739,Jet Gunner,Sinclair Strange,Sinclair Strange
2901,Action|2D|Casual|Arcade|,1.5,3305,Divekick,Iron Galaxy,Iron Galaxy
2902,Action|Adventure|Fantasy|Arcade|,0.5,9057,Until You Fall,Schell Games,Schell Games
2903,Simulation|Arcade|,4.3,8790,Jane's Advanced Strike Fighters,Trickstar Games,Trickstar Games
2904,Casual|,1.2,1912,Masquerade of Miasma,John Morris|Emily Jean Richardson,John Morris|Emily Jean Richardson
2905,Action|Strategy|,1.1,2396,Joint Task Force,Most Wanted Entertainment,Most Wanted Entertainment
2906,Action|Adventure|Puzzle|Fantasy|Casual|Atmospheric|,1.6,4890,Mya of the Desert,Emergency Entrance Studios,Emergency Entrance Studios
2907,2D|Sci-fi|Adventure|Puzzle|Story Rich|Atmospheric|,4.0,3059,Chaos on Deponia,Daedalic Entertainment,Daedalic Entertainment
2908,2D|Adventure|RPG|Strategy|,0.2,7527,Loot Rascals,Hollow Ponds,Hollow Ponds
2909,Action|Adventure|RPG|Fantasy|Strategy|Casual|,2.0,4973,Dungeon Defenders Eternity,Nom Nom Games,Nom Nom Games
2910,Sci-fi|2D|Adventure|Simulation|RPG|Story Rich|,1.3,1285,Gaia Beyond,Warp Turtle,Warp Turtle
2911,Adventure|Simulation|FPS|Casual|,2.2,2945,FIRE  TRUMP - Air Combat VR,UG Virtual Reality Technology Co.|Ltd.,UG Virtual Reality Technology Co.|Ltd.
2912,Simulation|Casual|Atmospheric|,2.3,5064,Copoka,Inaccurate Interactive,Inaccurate Interactive
2913,2D|Simulation|Strategy|,1.0,1299,Call of War: World War 2,Bytro Labs GmbH,Bytro Labs GmbH
2914,Action|,4.0,3174,Watchmen: The End is Nigh Part 2,Deadline Games,Deadline Games
2915,Casual|,1.1,4380,Royal Casino: Video Poker,Bullid Games,Bullid Games
2916,2D|RPG|Strategy|,3.0,4095,WARSAW,Pixelated Milk,Pixelated Milk
2917,2D|Adventure|RPG|Fantasy|Casual|,1.7,1943,Shonen Idle Z,Zakos Games,Zakos Games
2918,Action|Colorful|Casual|Arcade|,3.4,8778,Bombergrounds: Battle Royale,Gigantic Duck Games,Gigantic Duck Games
2919,RPG|Casual|,3.0,7753,Pararea--Social VR for Everyone (Beta),Metaverse,Metaverse
2920,Action|Simulation|FPS|,4.7,598,War Robots VR: The Skirmish,Pixonic,Pixonic
2921,Action|Adventure|Casual|,3.6,4767,Construction Charlie,RiftBreak Software,RiftBreak Software
2922,Action|Adventure|Puzzle|,1.7,2523,LEGO Batman: The Videogame,Traveller's Tales,Traveller's Tales
2923,2D|Action|Colorful|Casual|Arcade|,1.4,5123,pureya,Majorariatto,Majorariatto
2924,Action|Casual|,3.9,4040,3on3 FreeStyle: Rebound,Joycity,Joycity
2925,Action|Adventure|RPG|Fantasy|Story Rich|Atmospheric|,3.4,8734,Divinity II: Developer's Cut,Larian Studios,Larian Studios
2926,Simulation|,2.3,9510,Taxi,Excalibur,Excalibur
2927,RPG|Casual|,1.4,6811,,USAGI STORE,USAGI STORE
2928,Action|Sci-fi|Puzzle|Horror|FPS|Story Rich|Atmospheric|,0.7,7190,35MM,Носков Сергей,Носков Сергей
2929,Simulation|Horror|Story Rich|RPG|Casual|Atmospheric|,2.0,8781,The Horrorscope: Fatal Awakening,Randumb Studios,Randumb Studios
2930,Action|Adventure|RPG|Fantasy|,1.8,3972,Tunche: Arena,LEAP Game Studios,LEAP Game Studios
2931,Adventure|,1.7,9662,A Detective's Novel,Amaterasu Software,Amaterasu Software
2932,2D|Adventure|RPG|Strategy|,4.6,2054,Dust to the End,Haojoy Game|Zjoy Game,Haojoy Game|Zjoy Game
2933,2D|Sci-fi|Horror|Casual|Atmospheric|,1.6,7236,Traurig Secrets: Prologue,Nebereal's,Nebereal's
2934,2D|Sci-fi|Puzzle|Adventure|Colorful|Story Rich|Casual|Atmospheric|,3.0,7796,Thomas Was Alone,Bithell Games,Bithell Games
2935,RPG|Fantasy|Casual|,2.7,1467,DragonFang - Drahn's Mystery Dungeon,Toydea|Degica,Toydea|Degica
2936,Simulation|Strategy|Atmospheric|,3.8,969,Endzone - A World Apart,Gentlymad Studios,Gentlymad Studios
2937,Action|Horror|,3.6,7638,Bleeding Border,Curse Box Studios,Curse Box Studios
2938,2D|Action|Strategy|Casual|,1.1,6549,Geometry Arena,011 Games,011 Games
2939,Action|Adventure|FPS|,1.2,6506,Die Young: Prologue,IndieGala,IndieGala
2940,Action|Sci-fi|Adventure|RPG|Story Rich|Atmospheric|,2.6,2302,Mars: War Logs,Spiders,Spiders
2941,Action|FPS|,0.1,1691,Chernobyl Commando,Silden,Silden
2942,Action|Adventure|Puzzle|Simulation|Colorful|Casual|Atmospheric|,2.6,1377,Snake Pass,Sumo Digital,Sumo Digital
2943,Simulation|Casual|,1.2,3910,Goblin Gearshop,Minus2,Minus2
2944,Adventure|RPG|,5.0,3999,Town of Night,Delusional Games,Delusional Games
2945,Action|Horror|,2.7,5333,Mist of the Dark,Visualistic Studios| LLC.,Visualistic Studios| LLC.
2946,Adventure|Simulation|Casual|Atmospheric|,1.6,6637,Shelter,Might and Delight,Might and Delight
2947,Adventure|,1.2,1055,Calvino Noir,Calvino Noir Limited,Calvino Noir Limited
2948,Action|Sci-fi|Adventure|RPG|FPS|Story Rich|Atmospheric|,2.9,9201,E.Y.E: Divine Cybermancy,Streum On Studio,Streum On Studio
2949,Sci-fi|Simulation|Strategy|Atmospheric|,1.7,7948,Nexus - The Jupiter Incident,Mithis Games,Mithis Games
2950,2D|Adventure|Puzzle|Horror|Story Rich|Fantasy|Casual|Atmospheric|,1.7,5696,9 Clues 2: The Ward,Tap It Games,Tap It Games
2951,Puzzle|Strategy|,4.6,8560,Greed Corp,Vanguard Games,Vanguard Games
2952,Action|2D|,0.3,5231,Overclocked,Magnesium Ninja,Magnesium Ninja
2953,Action|,1.9,9227,Watchmen: The End is Nigh,Deadline Games,Deadline Games
2954,2D|Adventure|Simulation|RPG|Fantasy|,2.7,2424,Kynseed,PixelCount Studios,PixelCount Studios
2955,Sci-fi|Action|Adventure|Simulation|Story Rich|Atmospheric|,4.3,9248,Rodina,Elliptic Games,Elliptic Games
2956,2D|RPG|Fantasy|Casual|,4.6,599,Dungeon Delver,Skip Stone Studios,Skip Stone Studios
2957,2D|Adventure|Casual|,0.8,9476,Detective Case and Clown Bot in: Murder in the Hotel Lisbon,Nerd Monkeys,Nerd Monkeys
2958,Action|Adventure|Horror|FPS|Story Rich|Atmospheric|,2.5,7437,Call of Cthulhu: Dark Corners of the Earth,Headfirst Productions,Headfirst Productions
2959,Casual|,2.5,4121,Midnight Carnival,Delusional Games,Delusional Games
2960,Simulation|,4.1,6724,High Profits,Double Coconut,Double Coconut
2961,2D|Action|Adventure|Colorful|Story Rich|RPG|,1.3,5568,Everhood,Chris Nordgren|Jordi Roca,Chris Nordgren|Jordi Roca
2962,Fantasy|Strategy|,4.0,7846,Prime World: Defenders 2,Nival,Nival
2963,2D|Puzzle|RPG|Casual|,2.9,8854,Swaying Girl,Wet Girl,Wet Girl
2964,Action|2D|Colorful|Casual|Arcade|,1.6,4256,Nova Drift,Chimeric,Chimeric
2965,Action|2D|,1.4,8686,Mega Man Legacy Collection 2,CAPCOM CO.| LTD,CAPCOM CO.| LTD
2966,Action|FPS|,2.9,7035,Rogue Warrior,Rebellion,Rebellion
2967,Action|Sci-fi|FPS|,3.9,8025,Rise of the Triad,Interceptor Entertainment,Interceptor Entertainment
2968,Simulation|Strategy|Casual|Atmospheric|,4.2,7989,Truck and Logistics Simulator,Simula Games,Simula Games
2969,Sci-fi|Adventure|Horror|Story Rich|,0.2,4210,Bionic Heart,Winter Wolves,Winter Wolves
2970,Action|Adventure|RPG|Casual|,1.9,1731,FOS,Enoops,Enoops
2971,Action|2D|Casual|Arcade|,0.1,4495,Air Attack,Four Pixels Games,Four Pixels Games
2972,Action|Puzzle|Strategy|,2.5,9782,Harmony,Nico,Nico
2973,Adventure|Horror|Story Rich|Atmospheric|,1.0,6212,Caligo,Krealit,Krealit
2974,Action|,0.0,8991,Dynamite Alex,Ryan Silberman,Ryan Silberman
2975,2D|Adventure|Colorful|RPG|Atmospheric|,2.9,2197,Gun Witch,AGM Studios,AGM Studios
2976,Sci-fi|Action|Adventure|Simulation|RPG|Strategy|,3.7,4562,StarMade,Schine GmbH,Schine GmbH
2977,Action|Adventure|Casual|Arcade|,2.1,6096,Distant Space,PixelMouse,PixelMouse
2978,Action|2D|Adventure|Puzzle|,4.6,6896,Adventures of Pip,Tic Toc Games,Tic Toc Games
2979,Action|Adventure|RPG|Fantasy|Story Rich|,1.7,3379,Omensight: Definitive Edition,Spearhead Games,Spearhead Games
2980,Action|Sci-fi|Adventure|RPG|Atmospheric|,2.9,2475,Immortal: Unchained,Toadman Interactive,Toadman Interactive
2981,Action|Casual|,3.9,5316,Joe Danger 2: The Movie,Hello Games,Hello Games
2982,2D|Adventure|RPG|Story Rich|Strategy|,1.7,7631,Reigns: Game of Thrones,Nerial,Nerial
2983,Action|,4.1,3580,Zero G Arena,Jonathan Wood,Jonathan Wood
2984,Action|Adventure|RPG|,2.2,3747,The Life Of Greather,GreatherGames,GreatherGames
2985,Action|Strategy|,3.3,1182,Heroes of Scene,Icy Donut,Icy Donut
2986,Casual|,3.2,1387,TREE,The Strangers,The Strangers
2987,Sci-fi|Horror|Story Rich|Casual|,0.4,3663,Stories of Liane,Gearshift Media,Gearshift Media
2988,Action|2D|Sci-fi|Colorful|,0.2,568,Captain Forever Remix,Pixelsaurus Games|Future Crayon,Pixelsaurus Games|Future Crayon
2989,Action|Sci-fi|Simulation|Story Rich|Arcade|,0.5,4940,ACE COMBAT 7: SKIES UNKNOWN,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Studios Inc.
2990,Adventure|Fantasy|Strategy|,3.4,5654,Magic 2015 - Duels of the Planeswalkers,Stainless Games,Stainless Games
2991,,3.5,6808,PrprLive,1-reality,1-reality
